peribahasa,maksud,penjelasan,contohAyat
abu di atas tunggul,"Hilang dengan mudah, iaitu pada bila-bila masa sahaja boleh tercampak atau terbuang.","Abu ialah sisa bahan terbakar yang berbentuk debu. Apabila abu yang sangat halus itu terletak di atas tunggul yang biasanya lebih tinggi daripada tanah, bila-bila masa sahaja abu itu mudah diterbangkan angin atau hilang dicucuri hujan. Oleh sebab itu, abu itu akan mudah lenyap tanpa meninggalkan kesan.",Kedudukan Encik Borhan sebagai pengarah syarikat itu bagaikan abu di atas tunggul kerana dia tidak disukai oleh ahli-ahli lembaga pengarah.
"ada air, ada ikan","Jika ada negeri, akan ada rakyatnya.","Air menjadi tempat ikan tinggal dan membiak. Sekiranya ada kawasan yang berair, akan aka ikan hidup di dalamnya.","Iceland merupakan negeri berair batu dan tidak menarik untuk didiami tetapi masih ada orang yang tinggal di sana, bagaikan ada air, ada ikan."
"ada angin, ada pohonnya",Segala hal ada mula atau sebabnya.,Angin ialah udara yang bergerak dengan kencang. Angin yang bertiup itu sebenarnya ada tempat permulaannya yang dikenal sebagai pokok atau pohon angin.,"Perselisihan faham antara Rosmah dengan Che Ta berpunca daripada hasutan Najib kerana ada angin, ada pohonnya."
"ada batang, cendawan tumbuh",Setiap negeri ada undang-undang dan adat istiadatnya.,"Cendawan atau kulat ialah sejenis tumbuhan yang tidak dapat membuat makanan sendiri lalu menjadikan tempat tumbuhnya sebagai sumber makanan. Biasanya batang kayu mati atau tumbang, pasti ada cendawan di situ.","Ke mana sekalipun kita pergi, kita tidak boleh lari daripada undang-undang kerana ada batang, cendawan tumbuh."
"ada bau, ada bangkainya","Apabila ada berita jahat, menandakan ada kejahatan telah berlaku walaupun tidak kelihatan.",Bangkai ialah binatang yang mati tanpa disembelih. Bangkai yang tidak tertimbus dengan sempurna akan mengeluarkan bau yang busuk. Jika ada bau busuk tentulah ada bangkainya meskipun tidak kelihatan.,"Ketika orang kampung bercerita tentang kelakuan sumbang anak ketua kampung, Mak Jenap mula mempercayainya kerana tahu bahawa ada bau ada bangkainya."
"ada beras taruh dalam padi, ada ingat taruh dalam hati",Kalau ada sesuatu cita-cita yang diinginkan tidak perlulah dikhabarkan kepada orang sebelum dikerjakan.,"Dijadikan pantun, sekiranya ada beras simpanlah dalam padi. Kalau ada ingatan terhadap sesuatu, taruhlah dalam hati, tidak perlu diheboh-hebohkan sesuatu yang kita inginkan.","Sekiranya belum berbuat apa-apa, tidak perlukah diheboh-hebohkan niat untuk menceburkan diri dalam bidang perniagaan kerana ada beras taruh dalam padi, ada ingat taruh dalam hati."
"ada bukit, ada paya","Ada baik ada jahat, ada kaya ada miskin.","Bukit ialah kawasan yang tanahnya tinggi sebaliknya paya ialah tanah lembah dan berair pula. Di dunia ini ada pelbagai bentuk muka bumi, ada tinggi, iaitu bukit dan ada rendah, iaitu paya.","Seseorang umat Islam yang kaya diwajibkan membayar zakat kerana Islam menyedari manusia mempunyai pelbagai taraf hidup, ada bukit, ada paya."
"ada gula, ada semut","Sekiranya sesuatu tempat itu makmur, akan ramailah orang datang untuk mendapatkan pekerjaan atau kalau orang itu kaya, akan ramailah kawannya.",Gula ialah sejenis benda manis yang sangat disukai semut. Tempat yang ada gula akan dihurungi semut kerana ingin mendapatkan makanan atau keperluannya itu.,"Malaysia merupakan antara negara yang menarik minat ramai orang asing untuk datang mendapatkan pekerjaan kerana ada gula, ada semut."
"ada hujan ada panas, ada hari boleh dibalas",Akan tiba masanya untuk membalas perbuatan jahat.,Musim akan sentiasa berganti. Tidak selama-lamanya akan hujan atau selama-lamanya panas sahaja. Seseorang yang melakukan sesuatu kejahatan kepada orang lain tidak selama-lamanya akan bebas kerana setiap perbuatan itu pasti ada balasannya.,"Joyah berasa sangat marah kepada Azman kerana menipunya tetapi dia tetap bersabar kerana yakin bahawa ada hujan ada panas, ada hari boleh dibalas."
ada jarum hendaklah ada benangnya,Setiap sesuatu itu haruslah ada pasangannya.,"Jarum ialah alat menjahit yang halus, runcing, serta tajam. Walau bagaimanapun, jarum tidak akan berfungsi jika tidak ada benang.",Zamir sering ditegur oleh kawan-kawanya kerana belum berhajat untuk berumah tangga kerana menurut mereka ada jarum hendaklah ada benangnya.
"adakah air yang penuh di dalam tong itu berkocak, melainkan air yang setengah tong itu juga yang berkocak?",Orang yang tidak berilmu juga yang banyak bercakap.,"Tong ialah bekas atau tangki besar yang biasanya berbentuk silinder. Jika tong penuh berisi air, tong tersebut tidak ada ruang udara dan tentulah tong itu tidak berkocak atau bergoyang lagi. Tetapi jika setengah atau sebahagian sahaja tong berisi air, akan berlaku goncangan yang kuat.","Sudah menjadi kebiasaan dalam masyarakat, orang yang cetek pengetahuannya akan menunjuk-nunjuk bahawa dia tahu sedangkan orang yang benar-benar tahu sekadar senyum atau berdiam diri sahaja kerana adakah air yang penuh dalam tong itu berkocak, melainkan air yang setengah tong itu juga yang berkocak?"
adakah buaya menolak bangkai?,Orang yang jahat tidak akan meninggalkan kesempatan untuk berbuat jahat.,"Bangkai ialah binatang mati yang menjadi makanan utama buaya. Jika menangkap mangsa, buaya tidak terus memakannya, sebaliknya mangsa tersebut akan disimpan di dalam lubuknya supaya menjadi bangkai yang busuk terlebih dahulu baru dimakannya. Jika buaya terjumpa akan bangkai, pasti buaya tidak akan menolak kerana itulah makanan kegemarannya.",Sesiapa pun tidak akan percaya bahawa Kira yang terkenal sebagai kaki perempuan itu tidak menerima bohsia-bohsia yang menggodanya kerana adakah buaya menolak bangkai?
adakah dari telaga yang jernih itu mengalir air yang keruh?,Tidak mungkin orang yang berpendidikan melakukan perkara-perkara keji atau mengeluarkan kata-kata kotor.,Telaga yang jernih tentulah air yang mengalir keluar darinya juga jernih. Tidak munasabah jika dari telaga yang jernih itu tiba-tiba mengalir air yang keruh.,"""Aku tidak percaya kalau engkau mengatakan bahawa Tuan Guru Haji Jalaluddin suka mengumpat dan mencarut kerana adakah dari telaga yang jernih itu mengalir air yang keruh?"", kata Abu kepada Ali."
adakah duri dipertajamkan?,Perselisihan tidak patut diruncingkan lagi.,Duri ialah bahagian yang tajam yang ada pada batang atau dahan sesetengah pokok. Duri itu memang sedia tajam dan berbahaya. Ditanyakan bahawa adakah orang yang sengaja ingin menajamkan duri yang sedia tajam itu?,Perselisihan faham antara Minah dengan Mizan tidak patut diruncingkan lagi dengan membawa pelbagai cerita yang menyakitkan hati kerana adakah duri dipertajamkan?
"ada kerak, ada nasi",Setiap kejadian tentu ada kesannya.,Kerak ialah bahagian makanan terutamanya nasi yang setelah dimasak menjadi keras atau hangit. Sekiranya ada kerak pastilah akan ada nasi kerana kedua-duanya sangat berkaitan.,"Sejak mendapat kemalangan yang mengorbankan rakan baiknya, Din sudah serik untuk memandu laju, ada kerak, ada nasi."
ada nasi di sebalik kerak,Ada sesuatu yang tertinggal atau belum selesai.,"Kerak ialah nasi yang dimasak tetapi menjadi keras atau hitam dan tidak sedap untuk dimakan. Nasi dikatakan masih ada lagi di sebalik kerak, menunjukkan masih ada bahagian yang belum lagi menjadi kerak.","Setelah menyelesaikan semua kerja pejabatnya, Azman bercadang untuk mengambil cuti tetapi ketuanya tidak mengizinkan kerana ada nasi di sebalik kerak."
"ada padang, ada belalang",Setiap negeri atau kampung mestilah ada penduduknya.,"Belalang ialah sejenis serangga yang memakan rumput atau daun-daun. Habitat belalang ialah di padang rumput. Sekiranya ada padang berumput, pasti ada belalang di situ.","Tidak mungkin ada negara yang tidak berpenduduk kerana ada padang, ada belalang."
"ada padi jadi, ada beras deras","Sekiranya kita mempunyai harta dan wang ringgit, segala keinginan dapat dicapai dengan mudah dan cepat.","Sekiranya kita mempunyai padi dan beras (bahan makanan penting dalam kehidupan manusia, khasnya orang Melayu) segala-gala yang diinginkan mudah diperoleh.","Tidak menjadi masalah Datuk Najib yang kaya-raya itu mendapatkan tender projek mewah itu kerana ada padi, ada beras deras."
ada pasang surutnya,"Hidup ini tidak pernah lari daripada untung dan rugi. Seketika untung dan pada masa yang lain rugi. Begitulah sebaliknya, jika pernah rugi, pasti akan ada untung.",Laut sentiasa pasang dan kemudian surut. Selepas itu pasang semula dan surut lagi. Hal ini bermakna paras air laut tidak pernah kekal pada takat yang sama.,"Lumrah berniaga memang ada untung dan rugi, laut pun ada pasang surutnya."
"ada persembahan, ada kurnia",Setiap perbuatan baik akan baik juga balasannya.,Rakyat yang mempersembahkan sesuatu hadiah kepada raja akan dibalas dengan kurniaan hadiah juga daripada raja tersebut.,"""Kalau kita menolong orang, sesuatu masa nanti kita mudah mendapat pertolongan sekiranya berada dalam kesusahan kerana ada persembahan, ada kurnia,"" beritahu Tok Ngah kepada anak cucunya."
"adapun kata, ada pangkalnya",Setiap sesuatu ada asal usulnya.,Kata yang dimaksudkan ialah kata-kata atau ayat yang dilafazkan dalam percakapan. Setiap ayat yang dituturkan itu tentu ada perkataan permulaannya atau dikatakan pangkalnya.,"Semua orang tertanya-tanya tentang Imran yang tiba-tiba menjadi sasau kerana mereka yakin bahawa adapun kata, ada pangkalnya."
"adapun manikam itu dijatuhkan ke dalam limbahan sekalipun, nescaya tidak akan hilang cahayanya","Orang yang asalnya baik-baik itu walaupun miskin dan hina, namun budi bahasanya tetap ada.","Manikam ialah sejenis batu permata atau intan. Jika manikam itu jatuh ke dalam limbahan yang hitam lagi kotor, kilauan dan keindahannya tidak akan pudar.","Zahid berbudi bahasa dengan sesiapa sahaja walaupun dia telah jatuh miskin, adapun manikam itu dijatuhkan ke dalam limbahan sekalipun, nescaya tidak akan hilang cahayanya."
"ada rotan, ada duri",Untuk mendapatkan kesenangan perlu menempuh kesusahan dahulu.,Rotan merupakan hasil hutan yang berharga. Untuk mendapatkannya bukan mudah kerana rotan banyak duri. Tidak ada rotan yang tidak berduri.,"Kita tidak perlu kesal sekiranya masalah timbul pada saat-saat kejayaan hampir diraih kerana ada rotan, ada duri."
"ada rupa, ada harga",Harga sesuatu barang bergantung pada keindahan rupa bentuk dan buatannya.,Sesuatu barangan yang cantik dan indah buatannya tentulah harganya turut mahal.,"""Jangan terkejut oleh harga jam yang mahal ini kerana bentuknya yang sangat halus dan cantik kerana ada rupa, ada harga,"" kata jurujual itu kepada pelanggannya."
ada sampan hendak berenang,Ada cara yang senang tetapi sengaja hendak bersusah payah.,Sampan digunakan untuk menyeberangi kawasan yang berair seperti sungai atau tasik. Jika sudah ada sampan akan menjadi keanehan apabila seseorang itu lebih suka berenang daripada menggunakan sampan tersebut.,Mahathir dikatakan ada sampan hendak berenang kerana menolak tawaran biasiswa tetapi bertungkus lumus bekerja untuk menampung perbelanjaan pelajarannya.
ada seperti nampaknya apung-apung,Barang yang dihajati telah ada tetapi belum tentu dapat diambil atau dipakai.,"Walaupun sesuatu itu dikatakan telah ada, namun kelihatan terapung-apung atau di awang-awangan kerana tidak dapat dicapai oleh tangan.",Alat-alat ganti kereta yang diimport itu sudah tiba tetapi belum dapat digunakan kerana pihak Jabatan Pengangkutan Jalan belum memberi kelulusan tentang penggunaannya. Begitulah kalau ada seperti nampaknya apung-apung.
ada sirih hendak makan sepah,Ada yang baik tetapi hendak yang buruk.,Sirih ialah sejenis tumbuhan yang memanjat menggunakan akar. Daunnya biasa dijadikan makanan ringan oleh sebilangan orang. Sepah ialah hampas sirih yang telah dimamah. Ada sirih tetapi dikatakan mengingini sepah yang sudah dimamah itu.,Tajuddin sudah mempunyai dua orang isteri yang dinikahi secara halal tetapi masih mengunjungi setiausahanya yang dijadikan perempuan simpanan. Begitulah kalau ada sirih hendak makan sepah.
ada tangga hendak memanjat tiang,"Berbuat sesuatu tidak mengikut peraturan, lebih suka mencari kesusahan walaupun ada jalan mudah.","Kalau naik ke rumah yang tinggi sepatutnya menggunakan tangga. Walau bagaimanapun, ada orang yang dikatakan lebih suka memanjat tiang untuk naik ke atas rumah walaupun ada tangga.","Azmin dimarahi oleh ayahnya kerana bertindak ibarat ada tangga hendak memanjat tiang apabila tidak mahu membonceng motosikal abangnya, sebaliknya lebih suka menunggang basikal ke sekolah."
"adat bernegeri memagar negeri, adat berkampung memagar kampung",Tidak mementingkan diri sendiri tetapi berbuat sesuatu untuk kebaikan bersama.,"Mengikut adat atau kebiasaan, kalau mempunyai negeri hendaklah negeri itu dipagar dan kalau mempunyai kampung hendaklah kampung itu dipagar juga supaya selamat daripada ancaman musuh.","Sebagai rakyat sebuah negara yang merdeka, kita hendaklah bersama-sama mengembleng tenaga bagi memastikan negara ini tidak dijalah semula seperti adat bernegeri memagar negeri, adat berkampung memagar kampung."
"adat bersendi syarak, syarak bersendi adat",Adat resam yang diamalkan perlu selari dan tidak bertentangan dengan agama kerana kedua-duanya saling berkait.,"Adat perlu ada hubung kait dan mesti selari dengan syarak atau hukum agama. Oleh itu, kedua-duanya dikatakan saling bersendi atau berkait rapat.","""Tidak salah engkau mengahwini gadis Amerika itu tetapi janganlah mengetepikan agama dan adat resam kerana adat bersendi syarak, syarak bersendi adat,"" kata emak kepada Abang Long yang pulang dari luar negara."
adat dagang tahan tawar,Orang yang berniaga itu tidak boleh marah walaupun orang menawarkan harga barang jualannya.,"Seseorang pedagang atau peniaga semestinya dapat menerima adat tawar-menawar dalam perniagaannya. Jika peniaga marah akan pelanggan yang cuba menawar harga barang yang dijualnya, tentulah tidak akan ada pelanggan yang hendak datang lagi. Oleh itu, dia mesti bersabar dengan tawar-menawar dan kerenah pelanggan.","Kalau hendak menjadi peniaga, haruslah bermulut manis dan pandai mengambil hati pelanggan serta tahu akan adat dagang tahan tawar."
"adat diisi, janji dilabuh",Mengerjakan sesuatu hendaklah mengikut kebiasaaan.,"Adat merupakan kebiasaan yang dibuat sejak turun-temurun. Janji ialah pengakuan setuju untuk berbuat sesuatu. Jika adat atau kebiasaan diisi atau diikuti, janji pula mestilah ditepati.","Dalam kehidupan sehari-harian, kita sepatutnya mengikit kebiasaan, iaitu adat diisi janji dilabuh supaya tidak dipandang serong oleh masyarakat."
"adat dipakai baru, kain dipakai usang",Adat yang baik sekiranya diamalkan akan kekal selama-lamanya.,"Adat bermaksud kebiasaan yang menjadi ikutan seseorang atau sesuatu kaum sejak turun-temurun. Jika adat itu diguna pakai tentu tidak ketinggalan zaman. Walau bagaimanapun, kalau kain semakin kerap dipakai akan menjadi semakin buruk atau usang.","Sejak zaman-berzaman orang Melayu mengekalkan adat menghormati orang yang lebih tua, adat dipakai baru, kain dipakai usang."
adat gajah terdorong,Sudah menjadi kebiasaan orang besar atau berpangkat akan melakukan salah guna kuasa.,"Gajah ialah binatang yang besar. Kalau gajah berjalan dengan cepat atau berlari, biasanya gajah itu susah untuk berhenti dengan tepat, iaitu akan terlajak atau terdorong ke hadapan.","""Adat gajah terdorong, oleh itu usahlah hairan kalau Tuan Anuar yang dahulunya warak telah menyalahgunakan jawatan dalam parti untuk mengaut kekayaan bagi kepentingan diri dan keluarganya,"" kata Ezra kepada rakan-rakannya dengan nada bersahaja."
adat juara kalah menang,Dalam setiap pertandingan atau pekerjaan mesti ada kalah menang atau untung rugi.,Juara bermaksud johan atau pemenang. Juara juga bermaksud pemimpin. Sudah menjadi kebiasaan bagi seorang pemenang itu akan mengalami kekalahan atau kemenangan dalam sesuatu pertandingan.,"Setelah beberapa kali menjadi johan bagi pertandingan tersebut, akhirnya Mohamad Mat telah dikalahkan oleh seorang peserta muda, adat juara kalah menang."
adat lama pusaka usang,Adat yang tidak berubah sejak zaman-berzaman.,"Adat lama bermaksud kebiasan yang sudah lama dipakai, pusaka usang juga membawa maksud yang sama.",Tidak salah kakau kita memakai adat lama pusaka usang selagi adat itu tidak bertentangan dengan ajaran agama.
adat lurah timbunan sarap,Orang yang berpangkat dan berpengaruh biasanya menjadi tempat tumpuan orang mengadu hal.,"Lurah ialah kawasan yang lebih rendah berbanding dengan kawasan di sekelilingnya. Sudah menjadi kebiasaan, kawasan lurah menjadi tempat orang membuang sampah.","Kalau mahu berkhidmat kepada orang ramai, usahlah bercita-cita hendak menjadi pemimpin kerana adat lurah timbunan sarap."
